init_time    run_time     options
7.94749      0.0391645    --mode aot --path aotFloat.js --count 100 -Dx=0
7.9395       0.0432963    --mode aot --path aotFloat.js --count 100 -Dx=3
7.9634       0.0474353    --mode aot --path aotFloat.js --count 100 -Dx=6
7.99725      0.0551624    --mode aot --path aotFloat.js --count 100 -Dx=9
7.98835      0.0905429    --mode aot --path aotFloat.js --count 100 -Dx=12
7.99294      0.243296     --mode aot --path aotFloat.js --count 100 -Dx=15
7.95507      0.877778     --mode aot --path aotFloat.js --count 100 -Dx=18
7.9664       3.53066      --mode aot --path aotFloat.js --count 100 -Dx=21
7.87555      14.7542      --mode aot --path aotFloat.js --count 100 -Dx=24
7.81855      62.0214      --mode aot --path aotFloat.js --count 100 -Dx=27
7.83311      262.234      --mode aot --path aotFloat.js --count 100 -Dx=30
