init_time    run_time     options
1.60641      0.0250968    --mode interp --path interp.js --count 100 -Dx=0
1.59199      0.0329489    --mode interp --path interp.js --count 100 -Dx=3
1.58492      0.0440161    --mode interp --path interp.js --count 100 -Dx=6
1.58589      0.0868128    --mode interp --path interp.js --count 100 -Dx=9
1.5903       0.270811     --mode interp --path interp.js --count 100 -Dx=12
1.59284      1.0379       --mode interp --path interp.js --count 100 -Dx=15
1.61029      4.28067      --mode interp --path interp.js --count 100 -Dx=18
1.61898      17.9412      --mode interp --path interp.js --count 100 -Dx=21
1.65941      75.9095      --mode interp --path interp.js --count 100 -Dx=24
1.69043      320.968      --mode interp --path interp.js --count 100 -Dx=27
1.73813      1354.07      --mode interp --path interp.js --count 100 -Dx=30
